iter	Passed	Remaining
0	151	151597
1	154	76868
2	155	51713
3	159	39643
4	162	32308
5	163	27114
6	167	23712
7	169	20966
8	170	18747
9	172	17034
10	174	15665
11	175	14469
12	178	13564
13	180	12738
14	182	11978
15	186	11444
16	187	10845
17	189	10355
18	190	9856
19	195	9555
20	198	9268
21	202	8983
22	204	8688
23	206	8390
24	209	8159
25	211	7907
26	216	7791
27	220	7663
28	224	7512
29	227	7353
30	230	7219
31	231	7016
32	235	6892
33	239	6809
34	241	6652
35	249	6679
36	253	6593
37	254	6448
38	256	6317
39	259	6229
40	261	6104
41	264	6033
42	266	5922
43	267	5817
44	270	5731
45	271	5632
46	275	5579
47	277	5499
48	278	5401
49	280	5336
50	282	5256
51	284	5188
52	286	5115
53	288	5051
54	291	5002
55	295	4978
56	297	4913
57	299	4869
58	301	4809
59	303	4762
60	306	4720
61	308	4674
62	310	4621
63	312	4571
64	314	4528
65	319	4516
66	321	4470
67	323	4435
68	325	4397
69	327	4351
70	329	4316
71	332	4279
72	333	4236
73	338	4240
74	340	4200
75	343	4181
76	346	4154
77	350	4143
78	351	4099
79	353	4064
80	355	4031
81	358	4017
82	360	3980
83	363	3968
84	366	3950
85	369	3924
86	370	3893
87	374	3879
88	376	3849
89	379	3841
90	383	3830
91	384	3799
92	387	3778
93	389	3750
94	391	3724
95	392	3697
96	396	3689
97	397	3657
98	399	3637
99	400	3602
100	402	3586
101	404	3563
102	406	3537
103	407	3513
104	409	3491
105	414	3499
106	417	3486
107	420	3472
108	422	3453
109	426	3450
110	428	3428
111	430	3414
112	432	3393
113	436	3390
114	438	3370
115	440	3360
116	443	3344
117	445	3332
118	447	3312
119	449	3297
120	451	3279
121	454	3268
122	456	3251
123	458	3242
124	462	3238
125	466	3233
126	468	3223
127	472	3218
128	475	3209
129	477	3192
130	479	3182
131	481	3165
132	485	3166
133	488	3154
134	489	3138
135	493	3132
136	494	3113
137	497	3104
138	501	3103
139	506	3109
140	507	3091
141	510	3084
142	511	3067
143	514	3060
144	520	3070
145	522	3054
146	528	3064
147	529	3049
148	536	3062
149	540	3062
150	541	3045
151	546	3048
152	547	3031
153	551	3029
154	554	3025
155	559	3027
156	561	3013
157	566	3019
158	569	3011
159	572	3006
160	576	3006
161	578	2993
162	585	3006
163	586	2992
164	593	3002
165	597	3000
166	599	2991
167	602	2983
168	603	2969
169	605	2957
170	608	2951
171	610	2939
172	613	2930
173	613	2914
174	615	2903
175	617	2891
176	620	2886
177	624	2883
178	626	2872
179	628	2862
180	630	2851
181	633	2845
182	636	2841
183	639	2837
184	640	2820
185	644	2820
186	646	2811
187	649	2804
188	650	2792
189	653	2786
190	655	2774
191	657	2767
192	659	2757
193	661	2749
194	663	2738
195	665	2730
196	667	2720
197	670	2716
198	672	2708
199	674	2698
200	677	2691
201	678	2682
202	682	2677
203	683	2665
204	685	2658
205	688	2655
206	692	2653
207	695	2648
208	696	2637
209	699	2631
210	701	2624
211	705	2620
212	706	2611
213	708	2600
214	712	2600
215	713	2590
216	716	2584
217	718	2578
218	721	2574
219	724	2567
220	725	2557
221	726	2547
222	730	2544
223	735	2549
224	740	2549
225	741	2540
226	744	2536
227	746	2527
228	749	2522
229	751	2516
230	755	2513
231	756	2504
232	758	2498
233	762	2494
234	763	2485
235	765	2478
236	768	2473
237	769	2464
238	772	2460
239	774	2451
240	776	2446
241	778	2438
242	780	2432
243	782	2423
244	784	2416
245	785	2408
246	787	2400
247	791	2400
248	792	2391
249	796	2389
250	798	2382
251	800	2375
252	803	2372
253	804	2364
254	808	2361
255	811	2357
256	814	2354
257	817	2351
258	821	2348
259	823	2344
260	827	2342
261	831	2341
262	833	2334
263	835	2329
264	838	2326
265	840	2318
266	843	2315
267	844	2307
268	847	2304
269	849	2296
270	851	2290
271	853	2283
272	855	2279
273	856	2270
274	860	2267
275	864	2267
276	865	2260
277	870	2259
278	871	2252
279	874	2247
280	875	2240
281	878	2235
282	879	2228
283	881	2223
284	884	2219
285	885	2210
286	886	2202
287	889	2199
288	893	2197
289	895	2193
290	897	2186
291	899	2181
292	901	2175
293	903	2169
294	905	2163
295	908	2161
296	911	2156
297	913	2151
298	914	2144
299	916	2138
300	918	2132
301	921	2129
302	922	2123
303	926	2120
304	930	2119
305	931	2113
306	932	2105
307	935	2101
308	936	2094
309	939	2090
310	942	2087
311	944	2083
312	946	2076
313	948	2072
314	950	2066
315	952	2061
316	955	2058
317	958	2055
318	959	2048
319	961	2042
320	964	2040
321	968	2039
322	971	2036
323	974	2032
324	975	2026
325	977	2019
326	979	2016
327	983	2014
328	985	2009
329	987	2004
330	990	2001
331	991	1995
332	995	1994
333	998	1990
334	1002	19903335	1004	19833336	1009	19833337	1011	19833338	1016	19833339	1020	19834340	1024	19834341	1031	19834342	1038	1988
343	1043	1989
344	1047	19834345	1048	19834346	1053	198347	1051	1969
34348	1060	197349	1058	1966
350	1062	1964
35351	1071	19735352	1075	19735353	1078	196354	1078	1958
35355	1085	19635356	1090	19635357	1096	19635358	1100	19635359	1104	19636360	1106	19536361	1110	19536362	1113	19536363	1118	19536364	1120	19436365	1123	19436366	1127	194367	1123	1930
368	1127	1928
36369	1136	19337370	1140	193371	1138	1921
37372	1145	19237373	1150	19237374	1154	19237375	1156	191376	1153	1906
37377	1161	19137378	1165	19037379	1169	19038380	1173	19038381	1176	19038382	1181	1903
383	1183	18938384	1190	1901
385	1192	1896
386	1196	1895
387	1200	1892
388	1204	1892
389	1208	1890
390	1212	1888
391	1214	1883
392	1217	1879
393	1221	1878
394	1224	18739395	1226	18739396	1234	1875
397	1239	1875
398	1244	1875
399	1248	1873
400	1250	1867
401	1255	1867
402	1257	1863
403	1261	1861
404	1267	1861
405	1273	1863
406	1274	1856
407	1280	1858
408	1281	1851
409	1285	1849
410	1289	1847
411	1293	1846
412	1297	1844
413	1299	1838
414	1300	1832
415	1301	1827
416	1303	1822
417	1307	1820
418	1311	1818
419	1313	1814
420	1315	1808
421	1316	18042422	1318	179423	1318	1790
424	1320	1787
425	1324	1784
426	1327	1781
427	1329	1776
428	1332	1773
429	1335	1770
430	1336	1764
431	1340	1762
432	1343	1759
433	1346	1755
434	1348	1750
435	1352	1749
436	1355	1746
437	1357	1741
438	1360	1738
439	1362	1733
440	1364	1729
441	1367	1726
442	1371	1724
443	1373	1719
444	1376	1716
445	1378	1712
446	1380	1707
447	1383	1704
448	1384	1699
44449	1390	169450	1393	1695
451	1396	1692
452	1397	1687
453	1401	1685
454	1405	1683
455	1407	1679
456	1409	1674
457	1411	1670
458	1415	1668
459	1417	1664
460	1419	1659
461	1422	1656
462	1425	1653
463	1427	1648
464	1430	1646
465	1434	1643
466	1438	1641
467	1442	1639
468	1444	1635
469	1448	1633
470	1450	1629
471	1454	1627
472	1456	1622
473	1459	1619
474	1462	1616
475	1463	1611
476	1467	1608
477	1468	1603
478	1472	1601
479	1478	1601
480	1482	1599
481	1485	1596
482	1489	1594
483	1492	1591
484	1496	1588
485	1500	1587
486	1504	1585
487	1507	1582
488	1509	1577
489	1513	1575
490	1516	1572
491	1521	1570
492	1522	1566
493	1526	1563
494	1530	1561
495	1534	1559
496	1539	1558
497	1541	1553
498	1545	1551
499	1549	1549
500	1555	1548
501	1557	1545
502	1561	1543
50503	1564	154504	1567	1536
50505	1572	153506	1575	1532
50507	1582	153508	1589	1533
509	1597	1535
510	1599	1530
511	1605	1529
512	1610	1529
513	1618	1530
514	1620	1525
515	1626	1526
516	1634	1526
517	1635	1522
518	1641	1521
519	1647	1520
520	1648	1515
521	1650	1511
522	1654	1508
523	1658	1506
524	1661	1502
525	1662	1498
526	1666	1495
527	1670	1493
528	1671	1488
529	1673	1484
530	1675	1480
531	1677	1475
532	1679	1471
53533	1680	1466
534	1684	1464
535	1686	14553536	1690	145537	1695	1455
53538	1695	145539	1700	1448
540	1702	1444
54541	1702	143542	1708	1438
543	1711	1434
54544	1712	14254545	1714	14254546	1718	14254547	1720	14154548	1723	14154549	1727	1413
550	1729	14055551	1733	1406
552	1738	1405
553	1743	1403
554	1747	1401
555	1751	1398
556	1755	1396
557	1757	13955558	1763	1391
559	1767	1388
560	1772	1386
561	1773	1382
562	1774	13756563	1778	13756564	1780	13756565	1781	136566	1788	1365
567	1789	1361
568	1791	1357
569	1796	1354
570	1800	1352
571	1805	1350
572	1806	1345
57573	1811	1344
574	1816	1342
575	1820	1340
576	1824	1337
577	1827	1334
578	1831	1332
579	1832	1327
580	1836	1324
581	1840	1322
582	1844	1319
583	1849	1317
584	1851	1313
585	1855	1310
586	1858	1307
587	1862	1304
588	1863	1300
589	1870	1299
590	1874	1296
591	1875	1292
592	1879	1290
593	1881	12859594	1885	12859595	1887	127596	1889	1275
597	1890	1270
598	1894	1268
59599	1900	12660600	1902	12660601	1906	126602	1908	1256
603	1909	1252
604	1913	1249
605	1917	1246
606	1921	1243
607	1924	1240
608	1927	1237
609	1929	1233
610	1933	1230
611	1934	1226
612	1937	1223
613	1938	1218
614	1942	1215
615	1943	1211
616	1947	1209
617	1951	1206
618	1952	1202
619	1956	1199
620	1959	1196
621	1961	1191
622	1964	1188
623	1966	1184
624	1969	1181
625	1971	1178
626	1973	1174
627	1975	1170
628	1976	1166
629	1980	1163
630	1984	1160
631	1985	1156
63632	1992	11563633	1993	11563634	1997	11463635	2002	11463636	2006	1143
637	2007	1139
638	2008	11363639	2012	11364640	2016	1129
641	2019	1126
642	2023	1123
643	2024	1119
644	2026	1115
645	2030	1112
646	2032	1109
647	2034	1105
648	2036	1101
649	2038	1097
650	2041	1094
651	2044	1091
652	2046	1087
653	2050	1084
654	2053	1081
655	2057	1078
656	2059	1074
657	2063	1072
658	2066	1069
659	2070	1066
660	2074	1063
661	2077	1060
662	2077	1056
663	2080	1052
664	2081	1048
665	2085	10466666	2088	1042
