date,high,low,open,close,volume,quoteVolume,weightedAverage
1427328000,251.36855193,242.5255,251.36855193,242.5255,2.29937799,0.00947992,242.5524678
1427414400,253.3527,242.91750001,253.22011045,253.3527,0.66353649,0.00262338,252.93190349
1427500800,258.88067929,243.6819,243.68190247,248.72849578,7.06152934,0.02759171,255.92938406
1427587200,252.0705,247.96933001,252.0705,247.96933001,8.52654866,0.03382924,252.04671073
1427673600,254.35279355,242.52550001,242.52550001,254.35279355,29.65461869,0.12121748,244.63978869
1427760000,253.7301,242.5255,253.5414,249.33852966,28.4810826,0.11651188,244.44788463
1427846400,250.0,239.87000019,239.87000019,249.0,14.48312746,0.05824355,248.66491599
1427932800,255.0,229.00000001,245.47586455,255.0,62.12227939,0.24776058,250.73512258
1428019200,255.0,253.5,253.5,255.0,27.37145069,0.10763314,254.30318858
1428105600,254.42717667,248.9973997,252.58700541,254.42717667,184.24982176,0.7286023,252.881197
1428192000,262.66977114,252.07634469,252.07634469,254.69622183,125.3818785,0.48741272,257.23965206
1428278400,254.69622183,254.69622183,254.69622183,254.69622183,0.0,0.0,254.69622183
1428364800,257.80755,252.10286502,253.88325,253.116,366.91079197,1.43863701,255.0405623
1428451200,268.0,245.691,251.4816875,248.28703147,396.66497159,1.53986556,257.59714477
1428537600,269.0,240.88000001,245.55949496,269.0,910.71756702,3.72671881,244.37517651
1428624000,249.89999998,99.00000007,243.55500001,236.195,447.02395048,1.91591794,233.32103173
1428710400,249.89999997,230.10000001,233.1575,234.8725,2872.85547934,12.05794901,238.2540743
1428796800,235.735,230.10000001,234.8725,232.05,1952.86838181,8.32683509,234.5270875
1428883200,245.99999999,230.10000001,232.05,245.99999987,91.93343856,0.38671162,237.73125453
1428969600,234.000076,213.7184,234.000076,219.90926541,373.40081642,1.6495125,226.37040726
1429056000,225.1395,217.69520791,219.90926541,225.1293,100.65758018,0.45677876,220.36396829
1429142400,229.57789808,221.29080708,226.26174864,229.57789808,266.68959913,1.20141162,221.98020619
1429228800,226.62358212,222.9346875,224.7876,223.48807719,45.82083968,0.20537216,223.1112517
1429315200,221.65615001,221.5,221.65615001,221.5,44.30036632,0.2,221.5018316
1429401600,225.5,223.57789808,225.5,223.57789808,21.87361402,0.09700051,225.49998989
1429488000,229.5051,223.57789808,223.57789808,223.57789808,13.07389511,0.05829992,224.25236804
1429574400,233.0,223.57789808,223.57789808,229.7512,31.42439658,0.13616264,230.78574698
1429660800,238.374,230.5666,238.374,230.5666,36.92635588,0.15776037,234.0661085
1429747200,238.374,229.6777,230.5666,231.55429753,70.24516087,0.30440246,230.76410379
1429833600,235.49749476,223.57789808,231.6475,235.0896,1.94459737,0.00845799,229.91246977
1429920000,233.0649,223.57789808,223.57789808,223.57789808,1.4623462,0.00644434,226.91946737
1430006400,223.57789808,206.56436228,223.57789808,212.1681,555.12722339,2.62272233,211.66069204
1430092800,219.01,214.2427,219.00999999,219.01,390.55060327,1.78325767,219.00963043
1430179200,227.0,227.0,227.0,227.0,0.05964652,0.00026276,227.0
1430265600,227.0,227.0,227.0,227.0,4.99999961,0.02202643,227.0
1430352000,255.0,227.0,227.0,241.997374,389.75127612,1.60274561,243.17725388
1430438400,243.432375,233.1665,241.997374,233.1665,26.83685811,0.11091213,241.96504125
1430524800,235.0,235.0,235.0,235.0,3.538395,0.015057,235.0
